Step,Speed (m/s),Acceleration (m/s^2),Fuel HBEFA (mg)
0,0,0,8.372
1,0.026,2.595,8.417
2,0.052,2.597,8.463
3,0.078,2.577,8.507
4,0.103,2.58,8.552
5,0.129,2.594,8.598
6,0.155,2.594,8.644
7,0.181,2.539,8.68
8,0.207,2.59,8.733
9,0.232,2.533,8.766
10,0.258,2.584,8.821
11,0.283,2.557,8.859
12,0.309,2.568,8.907
13,0.334,2.493,8.929
14,0.36,2.563,8.993
15,0.385,2.521,9.023
16,0.409,2.395,9.021
17,0.435,2.597,9.136
18,0.461,2.574,9.172
19,0.484,2.359,9.127
20,0.508,2.379,9.173
21,0.532,2.411,9.225
22,0.558,2.578,9.345
23,0.584,2.599,9.401
24,0.608,2.398,9.342
25,0.631,2.291,9.322
26,0.655,2.429,9.434
27,0.68,2.469,9.497
28,0.703,2.297,9.436
29,0.728,2.513,9.605
30,0.751,2.368,9.555
31,0.774,2.253,9.517
32,0.798,2.37,9.63
33,0.822,2.409,9.695
34,0.845,2.361,9.7
35,0.87,2.452,9.804
36,0.895,2.509,9.889
37,0.918,2.338,9.799
38,0.94,2.145,9.681
39,0.962,2.267,9.811
40,0.984,2.145,9.744
41,1.009,2.522,10.096
42,1.032,2.324,9.967
43,1.058,2.553,10.208
44,1.081,2.316,10.036
45,1.103,2.24,10.001
46,1.125,2.11,9.911
47,1.15,2.586,10.403
48,1.172,2.113,9.98
49,1.196,2.465,10.365
50,1.217,2.085,10.015
51,1.241,2.384,10.356
52,1.265,2.368,10.378
53,1.285,2.057,10.079
54,1.308,2.298,10.372
55,1.331,2.253,10.359
56,1.353,2.196,10.327
57,1.377,2.413,10.612
58,1.399,2.252,10.462
59,1.419,1.954,10.141
60,1.442,2.287,10.569
61,1.466,2.435,10.788
62,1.485,1.923,10.187
63,1.509,2.386,10.798
64,1.528,1.92,10.237
65,1.552,2.405,10.894
66,1.573,2.1,10.529
67,1.596,2.24,10.748
68,1.616,1.997,10.452
69,1.636,2.051,10.552
70,1.656,2.016,10.532
71,1.68,2.381,11.073
72,1.703,2.24,10.911
73,1.725,2.193,10.876
