Time (s),Predicted Fuel
0.0,6.3808695942199785e-06
1.0,6.494413870194818e-06
2.0,6.558591161980392e-06
3.0,6.622768575818164e-06
4.0,6.684477783717627e-06
5.0,6.7486555649833684e-06
6.0,6.812833598829353e-06
7.0,6.8770119293299845e-06
8.0,6.941190600559667e-06
9.0,7.002901223712439e-06
10.0,7.0670806913131515e-06
11.0,7.1287921617371746e-06
12.0,7.192972595291057e-06
13.0,7.254685076046079e-06
14.0,7.3188666451352715e-06
15.0,7.380580299281045e-06
16.0,7.439826003940558e-06
17.0,7.50400955099906e-06
18.0,7.568193869359644e-06
19.0,7.624972983100844e-06
20.0,7.684221467246387e-06
21.0,7.743470714037617e-06
22.0,7.807658298891859e-06
23.0,7.87184686355402e-06
24.0,7.93109875408733e-06
25.0,7.987882666577293e-06
26.0,8.047136366016853e-06
27.0,8.108860006867037e-06
28.0,8.165646724481216e-06
29.0,8.227372506360458e-06
30.0,8.284161260163989e-06
31.0,8.340951036733938e-06
32.0,8.400211057460235e-06
33.0,8.459472259709581e-06
34.0,8.516265385979425e-06
35.0,8.577998347440275e-06
36.0,8.639732703779795e-06
37.0,8.696529577251717e-06
38.0,8.750858185354095e-06
39.0,8.805187958609605e-06
40.0,8.859518923719666e-06
41.0,8.921260137408146e-06
42.0,8.978063477442321e-06
43.0,9.042277630817152e-06
44.0,9.09908398066725e-06
45.0,9.153421855460863e-06
46.0,9.207761093240896e-06
47.0,9.269511915417918e-06
48.0,9.323854154487874e-06
49.0,9.383138248024102e-06
50.0,9.435013269477131e-06
51.0,9.494300684692803e-06
52.0,9.55358992130281e-06
53.0,9.602999034830308e-06
54.0,9.659821134868036e-06
55.0,9.716644996557911e-06
56.0,9.77099993212829e-06
57.0,9.830298126936284e-06
58.0,9.88465657727493e-06
59.0,9.85508780783761e-06
60.0,9.990907636627299e-06
61.0,1.0050213488314914e-05
62.0,9.958997116168862e-06
63.0,1.0156475196626234e-05
64.0,1.0055834382733737e-05
65.0,1.0262743994359216e-05
66.0,1.0314645346211686e-05
67.0,1.0371491706109747e-05
68.0,1.0415076901821207e-05
69.0,1.0470360064590314e-05
70.0,1.0519796725398124e-05
71.0,1.0579122939219977e-05
72.0,1.0635979531165629e-05
73.0,1.069036623569531e-05
74.0,1.0739810531511046e-05
75.0,1.0796673661594718e-05
76.0,1.0851066700679095e-05
77.0,1.031344328116283e-05
78.0,1.0288886155480864e-05
79.0,1.0380208359283857e-05
80.0,1.1031568580255842e-05
81.0,1.0419066956198601e-05
82.0,1.1132957320805598e-05
83.0,1.0757544225659032e-05
84.0,1.0688894610608061e-05
85.0,1.1271452640994096e-05
86.0,1.1328339133270674e-05
87.0,1.1269600536141233e-05
88.0,1.1250115525734208e-05
89.0,1.147922495392663e-05
90.0,1.15385951147246e-05
91.0,1.1597968291439592e-05
92.0,1.1659818594921923e-05
93.0,1.1724146464009825e-05
94.0,1.1781054941698326e-05
